domain,status,ok,final_host,css_bytes,dialog_element,popover_attribute,loading_lazy,picture_element,img_srcset,details_element,fetchpriority,module_script,import_map,container_queries,has_selector,nesting_ampersand,cascade_layers,text_wrap_balance,color_mix,custom_properties,subgrid,aspect_ratio
eset.com,200,1,www.eset.com,747710,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
rakuten.co.jp,200,1,www.rakuten.co.jp,604659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
teamviewer.com,200,1,www.teamviewer.com,636150,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1
aboutads.info,403,0,,,,,,,,,,,,,,,,,,,,
telegraph.co.uk,402,0,,,,,,,,,,,,,,,,,,,,
yandexcloud.net,0,0,,,,,,,,,,,,,,,,,,,,
share.google,200,1,share.google,44745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ipify.org,200,1,www.ipify.org,123295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imgsmail.ru,200,1,mail.ru,35792,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3lift.com,200,1,3lift.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noaa.gov,200,1,www.noaa.gov,2194,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grammarly.com,200,1,www.grammarly.com,437841,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1
target.com,200,1,www.target.com,439159,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1
azure-dns.com,0,0,,,,,,,,,,,,,,,,,,,,
rlcdn.com,0,0,,,,,,,,,,,,,,,,,,,,
avito.ru,200,1,www.avito.ru,1129613,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
xiaomi.net,0,0,,,,,,,,,,,,,,,,,,,,
my.com,0,0,,,,,,,,,,,,,,,,,,,,
oraclecloud.com,403,0,,,,,,,,,,,,,,,,,,,,
hotjar.com,200,1,contentsquare.com,306452,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
ieee.org,202,0,,,,,,,,,,,,,,,,,,,,
uk.com,200,1,uk.com,114887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ca.gov,200,1,www.ca.gov,137672,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
on.aws,0,0,,,,,,,,,,,,,,,,,,,,
shiabank.com,0,0,,,,,,,,,,,,,,,,,,,,
qlivecdn.com,0,0,,,,,,,,,,,,,,,,,,,,
msidentity.com,0,0,,,,,,,,,,,,,,,,,,,,
samsungapps.com,0,0,,,,,,,,,,,,,,,,,,,,
adobedc.net,0,0,,,,,,,,,,,,,,,,,,,,
shopifysvc.com,0,0,,,,,,,,,,,,,,,,,,,,
wix.com,200,1,www.wix.com,405643,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
t-msedge.net,0,0,,,,,,,,,,,,,,,,,,,,
yahoodns.net,0,0,,,,,,,,,,,,,,,,,,,,
mdpi.com,403,0,,,,,,,,,,,,,,,,,,,,
icloud-content.com,200,1,developer.apple.com,1007227,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
squarespace.com,200,1,www.squarespace.com,166984,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
atlassian.com,200,1,www.atlassian.com,627355,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1
playstation.com,200,1,www.playstation.com,253324,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
surveymonkey.com,200,1,www.surveymonkey.com,292565,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
